,year,gender,pace
0,2011,b,6.7092138106777215
1,2011,g,7.989301848506753
2,2012,b,6.625909732486288
3,2012,g,7.959468792187419
4,2013,b,6.741191890234411
5,2013,g,7.965525600241558
6,2014,b,6.661520701237294
7,2014,g,8.137940778066135
8,2015,b,6.815674387879133
9,2015,g,8.120547457306655
10,2016,b,6.898812277082001
11,2016,g,8.044010086774492
12,2017,b,6.85453622356857
13,2017,g,8.026122396840188
14,2018,b,6.788155474142367
15,2018,g,8.138974346761048
